"transE_high_s47"	"transE_low_s45"	"transE_medium_s46"	"transE_pre_s48"
"TIMP3"	0	2012	1541	895
"TIMP4"	1308	1527	2162	1195
"TINAG"	2251	3132	2111	3672
"TINAGL1"	250	1248	1348	723
"TIPARP"	841	679	263	762
"TIPIN"	64	64	44	187
"TIRAP"	4313	2528	5631	3873
"TJAP1"	0	43	37	47
"TJP2"	1320	1362	1262	1841
"TJP3"	0	0	60	0
"TK2"	72	160	61	239
"TKFC"	315	1286	1089	610
"TKTL1"	44	102	57	153
"TKTL2"	119	1	273	378
"TLCD1"	281	114	378	242
"TLDC1"	2736	2813	4813	3398
"TLDC2"	21246	24364	34843	25930
"TLE2"	3230	1626	3490	2506
"TLE4"	2955	1454	1660	2464
"TLK1"	2164	1914	2745	3482
"TLL1"	7111	6535	13395	8877
"TLN1"	153	0	243	0
"TLN2"	42	56	104	71
"TLR10"	467	354	270	514
"TLR2"	12047	12274	2173	11565
"TLR3"	1232	1349	1167	1478
"TLR4"	188	134	58	442
"TLR6"	331	299	13	253
"TLR8"	3100	2533	3402	2543
"TLR9"	851	696	972	541
"TLX1"	239	667	650	541
"TLX2"	86	0	0	77
"TLX3"	9360	9262	19811	12269
"TM2D1"	356	419	147	462
"TM2D2"	111	434	197	57
"TM2D3"	595	498	1508	651
"TM4SF1"	2921	2079	3898	3942
"TM4SF18"	726	533	431	1253
"TM4SF19"	9017	7787	9449	9836
"TM4SF20"	193	282	49	185
"TM4SF4"	263	185	1272	356
"TM4SF5"	1	0	27	1
"TM6SF1"	0	59	0	0
"TM6SF2"	24	0	70	0
"TM7SF2"	1694	1743	1811	1564
"TM7SF3"	56	653	541	220
"TM9SF1"	5449	5499	4393	5744
"TM9SF2"	603	285	50	282
"TM9SF3"	336	2210	1035	1143
"TM9SF4"	543	336	115	579
"TMA16"	635	224	139	612
"TMA7"	300	774	399	1033
"TMBIM1"	108	134	71	39
"TMC1"	1336	709	849	1137
"TMC2"	914	1339	844	1389
"TMCC1"	1745	1339	2323	2568
"TMCC2"	1958	1435	1858	1619
"TMCC3"	40	138	243	140
"TMCO2"	261	353	253	933
"TMCO3"	1486	885	1175	2051
"TMCO4"	252	1353	678	505
"TMCO5A"	3717	4186	1889	4499
"TMED1"	3912	2761	6040	5207
"TMED2"	395	435	697	346
"TMED3"	125	0	74	91
"TMED4"	823	351	1810	566
"TMED5"	992	3595	2184	1856
"TMED6"	13736	16555	38753	19065
"TMED7"	1588	7731	5509	4972
"TMED7-TICAM2"	781	867	1727	666
"TMED8"	1035	1262	2235	816
"TMEM100"	930	736	1011	472
"TMEM101"	833	1516	1553	1152
"TMEM102"	223	38	246	121
"TMEM105"	133	252	104	0
"TMEM106A"	164	62	833	481
"TMEM106B"	46	0	0	0
"TMEM106C"	1835	1712	2968	2736
"TMEM107"	4223	5481	8666	7837
"TMEM108"	1597	2112	2501	2214
"TMEM109"	1682	2087	4103	2506
"TMEM11"	0	119	0	105
"TMEM110"	752	1804	1558	1730
"TMEM110-MUSTN1"	0	1	101	128
"TMEM114"	3196	3121	2878	2757
"TMEM115"	430	1226	1432	717
"TMEM117"	117	111	284	151
"TMEM120A"	0	583	465	1
"TMEM120B"	23274	19171	35606	22190
"TMEM121"	1498	1209	1034	1025
"TMEM123"	1692	1902	1145	3021
"TMEM126A"	134	34	74	142
"TMEM126B"	419	8650	6691	4670
"TMEM127"	2476	2493	2654	2729
"TMEM128"	0	37	0	0
"TMEM129"	1995	2954	6646	3644
"TMEM130"	2176	771	1689	3144
"TMEM132C"	842	1031	473	607
"TMEM132D"	90	383	116	256
"TMEM132E"	61	49	0	55
"TMEM134"	1121	1649	1751	1287
"TMEM135"	210	200	78	184
"TMEM136"	105	51	14	100
"TMEM138"	399	789	1081	1036
"TMEM139"	1712	2412	2081	2043
"TMEM140"	566	567	453	756
"TMEM141"	0	0	6	0
"TMEM144"	804	0	321	68
"TMEM145"	2698	3079	4576	3798
"TMEM147"	75	1	216	112
"TMEM14A"	0	66	0	27
"TMEM14E"	632	647	619	1105
"TMEM151A"	39	154	320	333
"TMEM151B"	71	508	915	356
"TMEM155"	4448	2277	8181	3760
"TMEM156"	8	366	15	290
"TMEM158"	3898	2332	5613	2953
"TMEM160"	3687	2846	7190	5006
"TMEM161A"	36124	28904	36111	37819
"TMEM161B"	1585	2897	163	3155
"TMEM163"	819	1249	988	1277
"TMEM164"	19562	55214	39872	40454
"TMEM165"	0	56	77	66
"TMEM167B"	509	692	355	690
"TMEM168"	24	0	115	278
"TMEM17"	841	620	410	781
"TMEM170A"	3868	3575	3333	2460
"TMEM171"	917	894	859	1027
"TMEM173"	3192	3162	4349	3781
"TMEM174"	9928	12466	14918	15224
"TMEM175"	1060	274	1492	1124
"TMEM176A"	2561	2911	1743	2788
"TMEM176B"	16814	14103	18472	16205
"TMEM177"	153	238	352	164
"TMEM178A"	312	501	404	446
"TMEM178B"	1020	1273	1182	1278
"TMEM179"	135	305	322	520
"TMEM18"	5547	7212	8688	5110
"TMEM183A"	172	582	240	513
"TMEM183B"	31	54	114	0
"TMEM184A"	12344	19798	27088	15821
"TMEM184B"	1715	3549	5891	2111
"TMEM185A"	35120	34549	42489	40373
"TMEM185B"	4807	5122	5936	5520
"TMEM186"	166	0	211	338
"TMEM189"	1420	2038	916	1145
"TMEM189-UBE2V1"	753	1256	849	1223
"TMEM191B"	3883	4285	8677	4835
"TMEM191C"	4844	7377	6112	8757
"TMEM194A"	108	1457	866	500
"TMEM194B"	2505	2538	1316	3312
"TMEM196"	575	394	676	793
"TMEM198"	7303	8240	10233	7960
"TMEM200B"	6443	4426	7883	5082
"TMEM200C"	1915	1285	3061	1813
"TMEM201"	557	663	1333	514
"TMEM202"	117	71	154	263
"TMEM204"	1537	418	1702	1460
"TMEM205"	2465	1458	1513	2850
"TMEM207"	3292	3686	3526	5059
"TMEM209"	714	294	485	671
"TMEM210"	158	551	603	837
"TMEM214"	20	0	0	0
"TMEM216"	0	0	24	0
"TMEM217"	0	0	17	0
"TMEM220"	12555	6947	14451	10906
"TMEM223"	7400	9765	15163	7573
"TMEM229A"	167	185	436	398
"TMEM232"	74	107	11	95
"TMEM233"	5789	7040	3679	6704
"TMEM234"	2107	2580	1971	3126
"TMEM238"	0	0	41	0
"TMEM239"	1710	2811	4348	2710
"TMEM242"	0	272	106	73
"TMEM243"	1246	898	589	1463
"TMEM244"	2181	1764	2614	2051
"TMEM248"	568	273	359	536
"TMEM249"	4843	3034	3798	4510
"TMEM252"	1	0	0	0
"TMEM253"	1408	1159	883	1366
"TMEM254"	128	52	41	58
"TMEM255A"	3026	998	2110	2137
"TMEM256"	210	755	104	360
"TMEM257"	7	145	0	11
"TMEM259"	1526	1093	2195	2109
"TMEM26"	872	509	731	900
"TMEM260"	1565	857	1499	1942
"TMEM262"	156	0	90	78
"TMEM30A"	0	267	32	0
"TMEM31"	1164	1426	674	1781
"TMEM33"	28	68	0	0
"TMEM35"	64	199	160	103
"TMEM37"	29	544	336	197
"TMEM39A"	8266	8404	716	7103
"TMEM39B"	36	117	0	0
"TMEM41A"	349	2257	1433	956
"TMEM41B"	2342	2196	4938	4095
"TMEM42"	2237	2974	5162	4767
"TMEM44"	360	319	448	184
"TMEM45A"	0	0	0	90
"TMEM45B"	300	465	178	140
"TMEM47"	1084	963	2059	1280
"TMEM5"	2543	6973	4253	8846
"TMEM50B"	6639	3921	5147	5342
"TMEM52B"	0	70	145	51
"TMEM55A"	126	85	98	65
"TMEM55B"	2016	1751	1712	2300
"TMEM56"	1104	1061	776	1326
"TMEM56-RWDD3"	0	136	0	0
"TMEM57"	342	620	441	259
"TMEM59L"	3002	3534	3317	2616
"TMEM61"	1843	2415	2706	2596
"TMEM62"	3120	4170	1668	2988
"TMEM63A"	592	233	198	59
"TMEM63B"	218	0	188	948
"TMEM63C"	193	179	0	43
"TMEM64"	288	1541	391	524
"TMEM68"	0	0	9	0
"TMEM69"	4240	5291	2618	5539
"TMEM70"	632	527	161	948
"TMEM71"	340	119	572	568
"TMEM74"	934	2335	727	2095
"TMEM79"	206	70	7	154
"TMEM80"	0	27	0	67
"TMEM81"	3494	2034	2039	3186
"TMEM82"	1177	1748	1287	1943
"TMEM86A"	500	406	1651	364
"TMEM86B"	70	423	178	297
"TMEM87A"	233	1341	567	591
"TMEM88"	2190	1427	1345	2863
"TMEM89"	69	0	58	34
"TMEM8B"	2582	3193	3105	3344
"TMEM8C"	2010	1343	3569	2300
"TMEM9"	103	69	362	38
"TMEM91"	51	0	101	98
"TMEM92"	363	354	641	403
"TMEM95"	278	581	274	357
"TMEM97"	215	196	267	28
"TMEM99"	77	22	90	60
"TMIE"	219	229	212	196
"TMIGD1"	159	64	298	730
"TMIGD3"	11	0	0	0
"TMOD1"	260	61	101	347
"TMOD2"	111	1	29	77
"TMOD3"	16166	17197	26683	21220
"TMOD4"	3561	2425	2099	2511
"TMPO"	3312	3023	6769	4788
"TMPPE"	2529	2688	3751	2584
"TMPRSS11B"	4739	4288	6598	5860
"TMPRSS11D"	3021	3132	6267	5642
"TMPRSS11F"	62	0	177	50
"TMPRSS12"	733	393	1117	271
"TMPRSS13"	147	160	128	182
"TMPRSS15"	216	578	654	618
"TMPRSS2"	2822	3184	3087	3559
"TMPRSS3"	2700	2807	1127	2452
"TMPRSS6"	178	1702	550	1285
"TMPRSS7"	11127	13744	20814	14711
"TMSB10"	360	223	263	375
"TMSB15A"	249	64	192	197
"TMSB15B"	3815	3752	6588	5313
"TMSB4X"	3432	4928	9746	5122
"TMSB4Y"	26086	10484	16314	16710
"TMTC1"	1220	7734	2885	3149
"TMTC2"	223	276	121	380
"TMUB1"	1294	494	2076	1611
"TMUB2"	32	0	69	70
"TMX1"	1319	1844	2779	3062
"TMX3"	377	349	149	469
"TMX4"	504	477	703	484
"TNC"	60	168	148	53
"TNF"	0	108	10	71
"TNFAIP1"	646	1152	711	1158
"TNFAIP2"	602	500	1195	325
"TNFAIP6"	358	478	554	271
"TNFAIP8L1"	1430	2014	1604	1038
"TNFAIP8L2"	97	0	300	0
"TNFAIP8L2-SCNM1"	30	0	0	0
"TNFAIP8L3"	484	938	724	630
"TNFRSF10A"	1156	465	2351	1217
"TNFRSF10B"	2933	5358	6172	5676
"TNFRSF11B"	2414	2621	2777	2692
"TNFRSF12A"	5444	3465	9249	4947
"TNFRSF13B"	2505	3029	4826	3899
"TNFRSF13C"	1405	1300	2075	2163
"TNFRSF14"	4850	2890	5510	5161
"TNFRSF17"	1897	3877	4365	3035
"TNFRSF18"	515	719	703	821
"TNFRSF19"	6559	3919	6038	6072
"TNFRSF1A"	40600	21140	43143	35622
"TNFRSF1B"	610	719	938	871
"TNFRSF21"	0	45	9	0
"TNFRSF25"	3595	2632	7182	2928
"TNFRSF4"	748	1342	824	959
"TNFRSF6B"	22	0	273	84
"TNFRSF8"	2292	941	1907	1719
"TNFSF11"	374	317	997	370
"TNFSF12"	681	673	149	567
"TNFSF12-TNFSF13"	4927	5609	5544	5946
"TNFSF13B"	971	794	318	863
"TNFSF14"	6380	4051	10287	5067
"TNFSF15"	1208	977	782	1094
"TNFSF18"	1548	938	234	306
"TNFSF4"	1418	2170	1528	2197
"TNFSF9"	619	707	725	661
"TNIK"	791	1015	983	636
"TNIP1"	0	0	34	0
"TNIP2"	229	268	402	391
"TNIP3"	4266	4461	4273	5863
"TNK1"	3696	5135	6054	6329
"TNK2"	2929	1997	2782	3398
"TNKS"	23755	27602	58888	37214
"TNKS1BP1"	14	50	55	113
"TNKS2"	359	294	431	728
"TNN"	5443	5574	6356	5895
"TNNC2"	1865	2117	1619	2205
"TNNI1"	1262	1784	1147	1141
"TNNI2"	290	110	423	453
"TNNI3"	262	610	591	474
"TNNI3K"	3054	2765	3874	4140
"TNNT1"	1399	210	272	440
"TNNT2"	0	1483	1437	611
"TNNT3"	8377	10664	11272	11027
"TNP1"	35	193	196	46
"TNP2"	87	628	516	576
"TNPO2"	273	121	324	288
"TNRC18"	854	2274	3391	1645
"TNRC6A"	198	0	211	60
"TNRC6B"	214	0	49	97
"TNRC6C"	35	213	78	77
"TNS1"	0	0	9	20
"TNS3"	8169	11132	7759	12114
"TNS4"	0	0	7	0
"TNXB"	124	310	250	318
"TOB1"	4157	3633	3970	3333
"TOB2"	521	1305	689	1687
"TOLLIP"	139	45	141	39
"TOM1"	609	115	896	863
"TOM1L2"	5469	6325	9057	7523
"TOMM20L"	27	0	14	14
"TOMM34"	211	229	242	343
"TOMM5"	2337	2959	4076	2494
"TOMM6"	1852	582	2479	2161
"TOMM7"	2797	2887	5992	2565
"TOP1"	70	66	5	48
"TOP2B"	2358	2638	4406	2775
"TOP3B"	1559	531	950	810
"TOPAZ1"	535	712	452	1142
"TOPORS"	1163	1162	1291	1695
"TOR1AIP2"	2411	2827	795	2257
"TOR1B"	1719	3243	1639	1975
"TOR2A"	6906	4621	6473	8482
"TOR3A"	0	30	0	0
"TOR4A"	192	63	1370	701
"TOX"	2359	1367	3451	2857
"TOX2"	4322	2620	5179	3639
"TOX3"	6895	7422	12744	7680
"TOX4"	198	213	403	137
"TP53AIP1"	2300	1543	3778	2334
"TP53BP2"	3568	4163	2636	4576
"TP53I13"	505	188	658	375
"TP53I3"	1224	646	2385	1548
"TP53INP2"	213	0	304	188
"TP53RK"	1204	1227	2265	1459
"TP53TG3"	66	72	93	20
"TP53TG3B"	2457	884	1398	1269
"TP53TG3C"	642	788	1519	870
"TP53TG3D"	192	318	261	544
"TP53TG5"	615	340	1034	825
"TP63"	547	649	325	581
"TP73"	8004	9241	9381	7368
"TPBG"	163	39	121	1
"TPBGL"	7551	11639	13909	11072
"TPCN1"	241	554	204	36
"TPCN2"	3128	1921	3781	4382
"TPD52"	1401	1190	1240	1878
"TPD52L1"	1214	897	2277	1441
"TPD52L2"	230	504	157	573
"TPD52L3"	3105	2034	3996	3403
"TPGS1"	944	980	2023	1496
"TPGS2"	0	0	60	0
"TPH1"	14369	12721	3938	11874
"TPH2"	222	79	243	160
"TPI1"	1184	800	859	1038
"TPK1"	65	331	34	88
"TPM3"	9750	11625	16581	16891
"TPO"	459	473	1199	883
"TPP1"	1377	1694	1703	2324
"TPP2"	59	411	154	559
"TPPP"	4210	4731	6831	5471
"TPPP2"	762	346	427	275
"TPPP3"	575	1230	907	977
"TPR"	1559	2197	1101	1399
"TPRA1"	678	701	938	689
"TPRG1"	0	95	0	0
"TPRG1L"	1	0	0	0
"TPRN"	74	710	544	234
"TPRX1"	401	115	429	655
"TPSAB1"	14836	17453	39674	21990
"TPSD1"	6273	4568	9912	6909
"TPST1"	0	0	11	0
"TPST2"	560	681	1198	977
"TPTE"	193	170	68	249
"TRABD"	347	96	330	622
"TRABD2A"	5787	2958	1698	3587
"TRABD2B"	0	58	17	0
"TRAF3"	101	99	99	52
"TRAF3IP1"	5746	6728	3941	7101
"TRAF3IP2"	11	57	0	90
"TRAF4"	50	143	87	0
"TRAF5"	1578	1013	1255	1341
"TRAF6"	2375	3274	1881	3279
"TRAF7"	3794	3823	6371	3985
"TRAFD1"	33	0	0	0
"TRAK2"	243	367	461	716
"TRAM1"	2223	2161	2898	1791
"TRAM1L1"	5773	9206	1723	9326
"TRAPPC10"	311	156	325	367
"TRAPPC11"	1547	1165	1819	1451
"TRAPPC13"	2704	3659	1163	3644
"TRAPPC3"	557	117	500	421
"TRAPPC3L"	368	57	853	95
"TRAPPC6A"	0	0	67	60
"TRAPPC6B"	481	726	461	768
"TRAPPC9"	1325	1482	1914	1131
"TRAT1"	893	1576	719	1491
"TRDMT1"	37	161	9	92
"TREM1"	1820	1680	1368	2333
"TREM2"	362	247	553	363
"TREML1"	1955	1662	1157	1137
"TREML4"	23	573	350	289
"TRERF1"	1446	1469	3320	1616
"TREX1"	1961	1694	2263	2528
"TREX2"	3436	2764	841	4028
"TRH"	481	1298	1514	1091
"TRHDE"	23253	17919	28318	22242
"TRHR"	174	1	156	128
"TRIB2"	276	447	275	421
"TRIL"	2234	2574	3711	3712
"TRIM10"	2407	494	1851	1362
"TRIM11"	1417	1385	2035	1350
"TRIM13"	40	530	245	286
"TRIM14"	0	0	10	0
"TRIM15"	169	133	254	373
"TRIM16"	6900	10176	7562	7372
"TRIM16L"	4486	6708	2091	6043
"TRIM17"	2181	1305	3497	2411
"TRIM2"	495	397	1203	468
"TRIM21"	712	794	715	745
"TRIM22"	224	57	0	25
"TRIM23"	226	71	105	238
"TRIM25"	237	1038	1200	361
"TRIM26"	166	595	990	565
"TRIM28"	135	1	226	0
"TRIM29"	1316	1660	961	1460
"TRIM3"	480	559	1366	726
"TRIM32"	4390	4560	9560	6638
"TRIM33"	186	293	379	514
"TRIM35"	4755	3851	3189	5518
"TRIM39"	0	32	0	93
"TRIM39-RPP21"	738	505	1110	795
"TRIM4"	46	0	9	0
"TRIM40"	4362	2994	5989	4964
"TRIM42"	0	0	4	7
"TRIM43"	2135	133	577	1263
"TRIM43B"	260	3012	1080	1417
"TRIM44"	3635	3468	1335	5062
"TRIM45"	8850	7625	12204	10122
"TRIM46"	2144	3350	3586	2670
"TRIM49C"	910	609	567	517
"TRIM49D2"	3605	4021	2648	4983
"TRIM50"	1115	1096	1327	962
"TRIM51"	390	623	359	369
"TRIM54"	6008	6768	12745	7392
"TRIM56"	2154	1901	3776	3338
"TRIM58"	731	717	827	747
"TRIM59"	416	1680	1428	1256
"TRIM6-TRIM34"	6778	6139	6592	5906
"TRIM60"	127	142	81	57
"TRIM61"	475	511	1769	1171
"TRIM62"	0	0	16	0
"TRIM63"	513	574	545	392
"TRIM64"	12339	11710	29856	18335
"TRIM64C"	661	702	741	1468
"TRIM65"	1957	1638	1877	1936
"TRIM66"	0	1024	465	445
"TRIM68"	205	192	225	253
"TRIM72"	184	371	358	63
"TRIM73"	27	0	0	0
"TRIM74"	2139	2474	4039	3186
"TRIM77"	3018	4483	1961	4049
"TRIM9"	557	563	236	509
"TRIML1"	9534	11166	17783	10272
"TRIML2"	11	97	27	218
"TRIOBP"	396	206	752	1028
"TRIP10"	0	0	14	59
"TRIP11"	8746	8287	4836	11112
"TRIP13"	14297	16763	20670	17630
"TRIP4"	1364	733	1169	1387
"TRIP6"	90	0	38	0
"TRIQK"	714	854	730	1242
"TRIT1"	2600	2316	2488	2788
"TRMT1"	39	373	152	67
"TRMT10B"	0	0	0	1
"TRMT10C"	32	0	16	124
"TRMT11"	61	110	0	31
"TRMT112"	283	210	435	518
"TRMT12"	42	14	473	76
"TRMT13"	815	655	729	829
"TRMT2A"	357	442	1050	707
"TRMT2B"	1743	1838	1651	1702
"TRMT44"	0	48	41	67
"TRMT5"	143	293	21	93
"TRMT61A"	187	197	384	141
"TRMU"	1642	1062	2899	1449
"TRNP1"	5622	7129	11845	7051
"TRNT1"	1264	2497	363	2444
"TRO"	2003	1958	2386	1057
"TROAP"	71262	97459	93218	100457
"TROVE2"	25	0	103	0
"TRPC1"	0	0	17	0
"TRPC3"	804	1651	1833	705
"TRPC4AP"	1007	445	539	957
"TRPC5"	111	500	63	88
"TRPC6"	0	93	0	66
"TRPC7"	3105	2473	2964	3123
"TRPM2"	4737	2496	8183	3697
"TRPM3"	0	0	3	0
"TRPM5"	1461	2515	3408	3525
"TRPM6"	328	232	106	256
"TRPM7"	1026	784	242	785
"TRPM8"	854	782	986	1076
"TRPS1"	93	0	48	109
"TRPT1"	0	71	248	0
"TRPV1"	124	0	15	0
"TRPV2"	141	795	462	731
"TRPV4"	0	0	124	19
"TRPV5"	433	981	489	627
"TRUB1"	930	652	422	1621
"TSACC"	587	229	257	288
"TSC1"	55	0	0	0
"TSC2"	44	185	22	0
"TSC22D2"	582	273	525	481
"TSC22D3"	7747	7829	17892	8336
"TSEN54"	0	0	49	0
"TSFM"	0	0	27	69
"TSG101"	728	1442	1022	851
"TSGA10"	29	1	0	30
"TSGA10IP"	731	415	262	790
"TSGA13"	79	130	5	0
"TSHB"	0	119	42	0
"TSHR"	62	84	118	100
"TSHZ1"	1104	1045	436	1496
"TSHZ2"	25	0	0	0
"TSHZ3"	0	101	0	0
"TSKS"	511	721	1055	494
"TSLP"	332	375	208	580
"TSN"	3105	3398	4783	3751
"TSNARE1"	1233	2555	7662	4847
"TSPAN1"	95	319	0	0
"TSPAN10"	480	508	568	419
"TSPAN11"	2018	675	2171	1367
"TSPAN12"	2032	662	1832	1983
"TSPAN15"	3201	2421	2555	3370
"TSPAN16"	5194	2871	2162	2869
"TSPAN17"	344	124	1498	428
"TSPAN18"	537	564	412	442
"TSPAN19"	0	57	20	0
"TSPAN2"	60	1287	1419	389
"TSPAN3"	10288	6654	13424	11196
"TSPAN32"	1850	1313	2151	2215
"TSPAN33"	12610	13930	18605	17119
"TSPAN4"	12902	16878	11873	15858
"TSPAN5"	20	0	0	0
"TSPAN6"	231	617	105	675
"TSPAN7"	4123	4479	3805	5174
"TSPAN8"	46	44	68	0
"TSPAN9"	409	56	424	645
"TSPEAR"	303	677	1203	662
"TSPO"	54	350	299	191
"TSPO2"	1963	2693	2388	1577
"TSPY1"	21	0	42	50
"TSPY10"	521	1312	1043	1213
"TSPY2"	0	0	0	138
"TSPY3"	11221	10892	20905	10738
"TSPY4"	133	134	113	108
"TSPYL1"	0	0	23	144
"TSPYL2"	2082	1044	1582	1663
"TSPYL4"	5134	9711	11098	7374
"TSPYL5"	648	1650	1433	901
"TSPYL6"	2337	1655	2106	2195
"TSSC4"	1634	2051	4147	2841
"TSSK2"	215	535	815	309
"TSSK3"	611	399	751	366
"TSSK4"	367	516	887	1432
"TSSK6"	25	155	220	189
"TST"	853	1662	2133	971
"TSTA3"	561	627	880	706
"TSTD1"	3596	5063	6898	6386
"TSTD2"	871	1425	238	1024
"TSTD3"	88	570	96	30
"TTBK1"	2125	2559	5063	2517
"TTBK2"	1356	1026	587	489
"TTC1"	191	277	175	165
"TTC12"	2711	2572	3716	4091
"TTC16"	4833	5251	8971	7889
"TTC17"	191	326	134	549
"TTC19"	91	2527	461	692
"TTC21A"	9857	6790	10123	8701
"TTC21B"	218	1639	413	581
"TTC22"	133	0	102	190
"TTC23"	0	0	22	0
"TTC23L"	0	0	20	53
"TTC24"	107	259	64	110
"TTC25"	38	255	76	108
"TTC27"	3567	4602	960	2950
"TTC28"	35	0	0	117
"TTC3"	0	0	0	52
"TTC30A"	433	572	934	523
"TTC33"	53	0	35	291
"TTC36"	0	295	118	262
"TTC39A"	4130	1324	3535	2176
"TTC39B"	2220	4065	6314	3861
"TTC39C"	476	829	607	1625
"TTC4"	0	46	0	0
"TTC5"	1087	511	1144	1214
"TTC8"	0	0	52	61
"TTC9"	4266	5459	2960	4796
"TTF1"	0	0	28	44
"TTI1"	714	162	684	529
"TTI2"	818	466	592	447
"TTK"	1518	1874	1016	1704
"TTLL10"	367	209	206	267
"TTLL12"	2680	4764	3791	3558
"TTLL2"	493	286	396	300
"TTLL3"	1111	1614	1904	1388
"TTLL4"	2355	2198	2667	2329
"TTLL7"	1919	1383	777	2125
"TTLL9"	2584	1134	3532	2680
"TTN"	5608	6528	7556	6424
"TTPAL"	29	0	0	0
"TTR"	1512	2448	3223	2691
"TTYH1"	34	155	102	116
"TTYH2"	2802	2836	5834	3096
"TTYH3"	7093	6292	7820	8487
"TUB"	8463	7103	5969	7439
"TUBA1A"	538	166	750	381
"TUBA1C"	0	0	0	78
"TUBA3C"	5745	6063	2548	4639
"TUBA3D"	34	433	253	416
"TUBA3E"	1745	2125	2959	1945
"TUBA4A"	1636	2963	2369	1865
"TUBA8"	1539	1301	1761	2081
"TUBAL3"	690	400	1430	790
"TUBB1"	392	309	372	556
"TUBB2A"	0	0	25	10
"TUBB2B"	2022	2930	3726	2836
"TUBB4A"	8999	5870	13158	8440
"TUBB8"	0	0	25	0
"TUBG2"	38	62	76	89
"TUBGCP5"	37	59	149	0
"TUFT1"	662	436	400	555
"TULP1"	68	147	240	87
"TULP3"	497	2257	1513	1732
"TULP4"	1383	1648	3555	1734
"TUSC1"	115	119	1059	200
"TUSC3"	3582	2720	4660	2643
"TUSC5"	2255	3416	2210	3196
"TVP23A"	0	102	393	301
"TVP23C-CDRT4"	382	46	326	659
"TWF1"	2397	2306	3372	3144
"TWF2"	397	299	1000	515
"TWIST1"	1800	568	2233	1027
"TWISTNB"	109	220	65	212
"TWSG1"	1151	1352	1183	1047
"TXK"	110	223	23	70
"TXLNA"	2108	2473	1595	3362
"TXLNB"	6	1	0	0
"TXNDC11"	62	374	59	101
"TXNDC12"	135	367	161	74
"TXNDC15"	2204	2478	3562	2887
"TXNDC16"	104	0	5	17
"TXNDC17"	113	48	80	0
"TXNDC2"	232	0	185	0
"TXNDC5"	1584	1747	3339	1523
"TXNDC8"	35	275	316	102
"TXNIP"	2117	2395	3361	3743
"TXNRD3"	2589	3239	2973	3244
"TXNRD3NB"	4251	6044	3737	6843
"TYK2"	647	495	863	1162
"TYMP"	645	854	1603	735
"TYMS"	17908	19335	22149	22277
"TYMSOS"	2323	2377	5240	3265
"TYR"	3835	4421	5652	5940
"TYRO3"	106	426	383	298
"TYROBP"	3409	3075	6373	5375
"TYRP1"	684	347	788	757
"TYW1"	3528	2180	2737	3920
"TYW1B"	982	999	1603	919
"TYW5"	178	69	9	96
"U2AF1"	1530	1834	1358	891
"U2SURP"	134	355	212	306
"UACA"	344	133	247	168
"UAP1"	38	128	42	0
"UBA3"	0	615	51	103
"UBA5"	1133	1138	332	1133
"UBA52"	1	0	0	0
"UBA6"	0	0	78	179
"UBA7"	3527	2991	5278	4173
"UBAC2"	1383	1569	822	1526
"UBALD1"	1288	1093	1593	1458
"UBALD2"	7155	9633	16268	10923
"UBAP1"	100	87	126	83
"UBAP1L"	2970	2517	3699	3330
"UBAP2"	1160	2326	1613	2340
"UBASH3A"	5335	22308	21449	18155
"UBASH3B"	383	488	500	469
"UBB"	2172	1063	4412	2368
"UBE2B"	143	147	160	324
"UBE2D2"	1535	1611	874	1456
"UBE2E1"	1690	2823	1309	3245
"UBE2E3"	30769	21042	33340	33147
"UBE2F"	2206	2043	2847	2347
"UBE2G1"	2339	499	365	963
"UBE2G2"	419	1081	220	811
"UBE2H"	500	1336	871	1366
"UBE2K"	3547	2965	1524	5314
"UBE2L6"	1108	2295	2584	1609
"UBE2Q1"	391	0	10	115
"UBE2Q2"	100	68	0	166
"UBE2Q2L"	210	200	229	203
"UBE2QL1"	12261	7698	18260	10810
"UBE2V1"	3040	3879	4775	3237
"UBE2W"	2672	8015	4043	4833
"UBE3B"	739	756	633	1181
"UBE3C"	0	50	6	0
"UBE3D"	949	372	307	1200
"UBE4A"	1198	1608	1037	1788
"UBE4B"	520	16980	9525	9543
"UBFD1"	3056	2370	4439	3619
"UBIAD1"	1016	705	455	1090
"UBL3"	11787	18405	4622	15623
"UBL5"	1060	360	771	474
"UBL7"	2592	3304	3133	2582
"UBN1"	324	631	71	493
"UBOX5"	5252	4755	7095	7460
"UBQLN1"	171	118	159	71
"UBQLN4"	2687	2515	2537	2426
"UBQLNL"	309	463	128	280
"UBR1"	41979	22439	33167	33870
"UBR2"	66	146	70	106
"UBR7"	4176	2177	5079	3571
"UBTD1"	5952	6980	11288	7747
"UBTD2"	190	528	597	279
"UBXN10"	1862	1408	1281	2397
"UBXN2A"	24	76	0	0
"UBXN4"	207	136	353	286
"UBXN6"	118	654	247	323
"UBXN7"	54	0	0	0
"UBXN8"	9805	4945	8629	6936
"UCHL1"	1362	908	923	1446
"UCHL3"	626	270	133	952
"UCK1"	822	769	782	850
"UCKL1"	839	194	356	485
"UCMA"	798	800	986	1064
"UCN3"	249	253	594	438
"UCP2"	826	997	1061	1186
"UCP3"	12860	8028	11512	11404
"UFC1"	614	830	367	956
"UFL1"	557	659	475	623
"UFM1"	571	594	174	612
"UFSP1"	222	711	1861	1822
